Study_Hours,Attendance_Percentage,Previous_Marks,Assignments_Completed,Final_Score,Pass_Fail
7.32,74.0,82.16,3,67.54,1
4.24,80.0,54.25,4,57.72,1
3.64,64.58,70.74,0,46.72,0
8.28,84.75,46.25,3,58.96,1
8.29,93.01,63.07,10,73.31,1
8.8,88.99,69.26,7,70.35,1
9.22,51.98,79.13,9,81.43,1
5.6,74.03,97.03,6,73.82,1
5.51,55.25,76.04,8,63.45,1
8.18,62.1,84.62,4,64.18,1
6.85,99.33,70.38,9,65.97,1
7.32,57.12,78.05,3,53.78,1
8.16,74.94,44.26,7,72.23,1
9.01,80.91,55.26,8,64.88,1
4.04,85.12,61.71,6,58.59,1
4.38,77.98,68.35,6,64.09,1
1.85,50.49,42.74,4,29.26,0
6.2,66.32,48.4,3,50.22,1
1.32,75.89,56.61,9,58.16,1
5.19,54.39,98.29,0,53.4,1
5.88,67.53,59.88,9,78.52,1
3.58,51.66,68.92,9,49.61,0
6.32,53.93,51.77,6,59.4,1
1.27,69.85,76.65,0,39.29,0
1.34,56.64,56.84,0,35.58,0
8.4,78.38,52.42,4,62.62,1
4.24,84.47,70.99,8,61.13,1
2.14,90.03,40.33,5,46.61,0
5.7,60.01,40.46,2,33.1,0
7.93,58.37,53.14,2,54.46,1
2.94,55.23,42.2,6,44.55,0
6.61,81.82,46.48,5,60.02,1
1.77,85.32,60.33,8,60.88,1
1.47,51.58,88.16,5,52.26,1
5.78,96.81,74.32,4,64.85,1
5.87,52.6,70.76,9,60.01,1
6.74,77.06,57.61,6,57.98,1
7.53,85.45,95.91,0,70.63,1
9.78,93.55,63.82,6,81.49,1
5.65,85.7,45.23,2,47.63,0
3.91,90.09,77.02,8,67.12,1
8.16,66.97,46.83,5,53.31,1
3.44,90.74,60.71,8,66.82,1
4.95,54.01,70.44,4,55.64,1
1.71,94.74,92.45,6,72.66,1
1.23,77.38,69.61,3,41.04,0
9.66,90.86,82.14,6,77.08,1
8.52,72.62,99.57,0,66.86,1
7.26,82.18,47.89,6,64.19,1
4.68,76.32,56.48,7,56.83,1
2.56,86.58,63.67,4,46.45,0
2.41,54.08,65.31,1,42.84,0
3.25,53.02,64.66,4,49.74,0
5.94,62.36,94.46,5,61.08,1
7.43,57.98,82.84,1,63.8,1
6.94,93.59,76.47,5,74.87,1
3.52,60.96,58.56,5,49.23,0
9.59,98.79,89.43,0,70.97,1
7.64,66.84,97.3,0,64.43,1
5.99,59.11,89.27,10,69.27,1
6.51,89.48,40.09,9,64.34,1
4.78,82.94,78.18,2,45.22,0
3.23,74.91,43.07,9,58.36,1
4.2,77.77,55.46,9,52.89,1
7.82,85.96,43.57,2,61.33,1
1.13,61.42,76.23,3,42.33,0
2.04,99.82,81.2,1,50.38,1
1.41,98.74,46.87,8,50.21,1
1.37,82.52,63.03,9,55.39,1
8.7,59.98,67.37,10,81.05,1
7.33,84.01,62.14,6,53.34,1
5.27,53.61,47.26,6,56.45,1
1.88,51.53,65.14,5,46.24,0
5.42,62.88,85.07,2,49.62,0
5.26,73.13,44.26,5,45.68,0
2.56,93.41,44.81,7,60.9,1
4.9,86.36,61.29,7,57.19,1
4.59,87.14,96.5,10,72.08,1
6.54,71.27,80.11,8,76.33,1
6.72,67.3,80.72,0,56.16,1
1.41,68.55,61.72,0,31.05,0
4.37,99.38,75.62,2,58.57,1
6.63,52.01,40.61,2,38.04,0
5.53,93.35,78.17,9,79.44,1
8.71,78.93,94.8,7,85.3,1
6.93,71.93,76.75,9,75.39,1
2.47,86.26,92.42,0,52.95,1
1.64,74.33,83.44,1,54.79,1
6.78,93.67,47.23,1,51.86,1
1.24,95.04,94.15,2,48.44,0
6.27,71.09,43.99,5,55.34,1
9.46,63.84,72.04,0,68.47,1
6.18,79.62,48.53,1,42.86,0
4.49,95.62,40.7,0,40.76,0
6.79,60.53,65.32,4,58.76,1
5.12,81.15,57.7,6,58.08,1
5.91,81.58,69.16,7,60.93,1
9.47,86.66,74.63,9,87.01,1
4.47,56.58,42.62,0,46.89,0
9.65,85.79,47.38,6,68.48,1
9.15,95.45,73.52,4,67.5,1
2.76,58.98,60.59,9,47.13,0
1.62,61.88,83.75,0,42.85,0
1.91,98.57,79.14,2,57.74,1
1.16,59.05,90.74,6,56.32,1
1.85,92.72,81.55,9,65.62,1
7.15,74.61,65.8,0,49.58,0
1.64,62.36,80.38,6,47.23,0
3.87,93.54,56.52,4,57.52,1
8.6,72.27,58.38,0,58.05,1
1.21,75.74,87.34,0,36.64,0
8.33,67.96,66.79,0,62.4,1
3.54,79.65,87.9,10,74.01,1
2.06,58.18,89.35,8,66.6,1
7.27,69.55,91.45,10,72.81,1
6.66,98.47,95.0,2,62.02,1
8.9,62.91,65.86,4,61.84,1
7.62,82.84,59.13,10,75.86,1
8.23,66.26,74.93,9,83.29,1
3.54,88.67,62.27,8,64.79,1
2.6,56.54,76.06,5,49.41,0
7.76,98.49,82.34,8,74.66,1
8.26,72.69,81.3,7,79.73,1
9.91,61.8,62.47,7,65.07,1
4.71,53.67,50.01,0,45.66,0
4.35,58.49,65.83,8,56.9,1
7.99,75.99,48.56,5,67.69,1
4.07,66.85,93.41,8,70.95,1
9.38,91.44,60.75,2,63.27,1
8.73,71.54,49.27,2,52.31,1
4.86,62.44,41.53,5,45.39,0
7.76,80.86,78.75,8,77.33,1
7.79,85.34,78.21,6,72.4,1
1.93,58.35,60.44,2,35.65,0
9.12,58.38,44.3,2,50.95,1
5.55,51.83,64.58,1,46.0,0
8.44,86.82,58.67,8,61.42,1
3.88,83.19,80.63,2,56.82,1
9.06,73.73,76.35,10,75.4,1
4.5,92.21,61.88,4,50.49,1
1.1,90.28,53.07,8,44.29,0
9.15,79.27,99.28,7,73.54,1
1.82,93.41,67.24,1,38.63,0
3.87,60.29,81.3,2,46.59,0
9.55,55.6,48.43,1,61.29,1
9.56,63.49,69.14,7,68.7,1
6.16,52.85,41.65,5,49.36,0
6.69,76.56,70.33,5,65.13,1
5.04,96.83,97.84,8,77.96,1
3.64,51.97,63.05,7,52.02,1
3.96,56.11,42.34,3,33.84,0
7.05,72.61,41.86,3,57.97,1
7.77,96.69,63.28,8,82.79,1
8.12,65.81,49.6,0,39.94,0
8.11,75.36,41.4,1,44.64,0
1.82,52.08,85.37,1,41.18,0
5.45,57.42,67.51,5,50.54,1
1.52,99.33,57.35,3,49.4,0
5.95,98.26,94.0,10,79.08,1
4.97,50.25,46.97,9,65.4,1
8.99,97.59,97.36,2,81.15,1
4.16,81.96,58.84,2,49.5,0
2.05,93.4,93.3,2,60.94,1
2.29,72.74,76.18,5,58.65,1
7.85,75.78,89.6,7,72.85,1
6.56,74.44,99.04,10,76.93,1
1.91,83.34,57.3,6,51.03,1
1.76,56.98,97.67,3,55.4,1
7.31,51.5,63.37,10,68.28,1
1.65,65.4,63.13,3,34.27,0
8.4,85.23,60.42,10,72.15,1
7.36,60.09,72.48,9,69.78,1
1.73,83.67,49.25,10,55.46,1
1.76,98.5,73.22,10,75.94,1
9.88,54.7,72.5,10,70.46,1
4.37,83.63,85.71,1,57.89,1
4.34,72.19,90.02,0,59.73,1
8.32,93.41,66.43,8,86.75,1
9.53,58.86,58.14,1,53.0,1
9.87,84.63,55.56,7,74.74,1
7.78,91.91,51.68,8,72.18,1
4.39,97.23,43.46,3,50.43,1
1.75,84.16,60.55,7,52.88,1
7.99,74.86,56.21,8,70.0,1
6.03,80.89,97.99,9,65.98,1
4.82,93.45,73.46,9,74.18,1
9.16,78.53,60.84,4,65.48,1
2.0,51.52,74.83,6,48.64,0
5.43,96.55,48.35,9,75.63,1
1.1,84.48,66.64,3,42.27,0
5.22,83.83,77.57,0,51.07,1
1.51,60.78,69.33,2,50.68,1
2.07,82.94,64.11,4,44.83,0
2.06,69.69,99.63,2,50.22,1
6.84,82.56,92.82,10,80.73,1
7.71,55.33,77.4,6,69.78,1
6.25,82.89,74.16,8,71.49,1
9.66,99.97,77.24,5,70.85,1
4.37,52.41,52.08,9,52.38,1
3.57,98.86,63.71,0,44.78,0
8.82,70.35,42.37,6,60.44,1
3.01,93.54,68.53,2,52.93,1
9.67,89.12,72.58,4,73.86,1
1.11,78.35,53.66,9,43.66,0
9.73,86.92,97.84,3,82.38,1
1.39,93.93,94.57,9,69.89,1
9.02,70.21,83.33,4,76.51,1
5.75,66.35,72.0,4,59.47,1
9.94,83.38,92.2,5,84.68,1
1.66,90.39,47.84,9,56.92,1
5.98,88.11,87.43,9,83.54,1
9.72,89.89,47.49,10,79.15,1
5.71,71.78,87.65,5,64.43,1
6.66,90.89,56.55,7,77.17,1
7.26,56.01,92.63,7,75.59,1
5.09,77.22,96.64,10,80.03,1
6.65,50.29,48.93,8,50.97,1
6.26,66.23,67.76,7,56.78,1
9.11,68.32,98.86,10,87.56,1
1.41,69.81,69.0,1,40.91,0
3.53,84.77,91.81,9,68.25,1
9.55,69.43,75.32,10,81.07,1
9.01,72.43,62.52,0,63.72,1
5.1,61.88,57.15,9,63.75,1
6.58,68.66,52.19,1,42.14,0
3.5,61.36,85.71,1,48.17,0
2.69,53.66,63.19,2,36.4,0
5.17,80.17,70.68,9,66.23,1
4.18,83.41,69.54,6,57.93,1
6.25,80.97,74.64,1,53.83,1
1.7,73.17,91.93,0,40.19,0
9.77,68.99,98.84,5,77.24,1
9.88,93.17,64.46,8,75.86,1
7.28,75.95,89.65,2,49.65,0
5.82,73.96,85.87,5,75.38,1
3.79,51.28,74.41,2,51.49,1
8.32,67.06,97.36,0,61.55,1
7.16,69.01,52.03,4,55.41,1
2.46,69.94,46.56,9,46.26,0
9.2,79.01,91.24,10,94.65,1
8.4,76.68,66.35,3,71.73,1
9.55,80.4,90.82,6,79.98,1
7.53,88.24,93.59,5,79.67,1
6.52,90.65,43.75,9,66.43,1
4.76,85.91,93.01,6,62.31,1
9.39,97.78,66.9,4,69.05,1
8.79,50.91,70.63,3,60.02,1
1.41,59.79,77.6,6,48.48,0
1.24,50.38,95.58,6,52.75,1
4.39,82.37,41.15,5,49.33,0
8.29,94.9,68.61,7,73.9,1
9.89,62.17,81.26,3,67.79,1
2.35,96.35,83.36,9,62.86,1
6.35,53.01,81.55,4,55.35,1
4.43,96.72,48.07,3,44.41,0
9.73,67.58,57.96,0,60.12,1
8.58,55.07,61.52,7,54.39,1
8.54,74.29,88.27,0,68.47,1
5.22,62.84,56.73,4,57.56,1
4.73,64.24,52.64,5,48.96,0
3.46,65.36,97.45,5,47.94,0
1.51,90.15,40.53,4,40.15,0
8.78,76.96,99.87,2,70.99,1
8.32,65.57,80.61,4,61.03,1
10.0,80.52,89.71,7,79.43,1
9.97,85.81,57.68,1,69.04,1
6.0,63.63,40.86,5,53.31,1
7.92,70.68,84.27,8,70.6,1
9.5,56.09,90.05,7,68.0,1
8.65,59.06,84.43,10,77.12,1
3.23,84.06,48.57,7,52.38,1
5.05,59.07,85.21,7,66.49,1
2.16,76.26,86.14,6,55.82,1
9.59,85.45,79.51,7,81.47,1
6.46,55.34,85.97,5,72.67,1
3.06,78.37,90.76,1,56.62,1
7.05,62.83,76.82,1,54.98,1
6.56,98.15,45.32,7,62.72,1
4.22,74.18,69.26,10,64.39,1
2.02,90.3,44.66,0,42.42,0
7.04,77.51,64.45,5,59.31,1
5.68,52.17,64.43,5,54.2,1
7.95,81.66,43.96,10,69.65,1
5.68,97.57,60.93,3,55.49,1
8.67,80.08,46.66,10,64.83,1
5.97,90.96,88.49,10,81.27,1
6.05,94.21,96.86,9,80.72,1
8.89,61.4,44.34,2,54.31,1
4.63,60.6,97.31,10,70.22,1
2.21,80.55,71.35,2,53.14,1
1.26,70.55,57.97,0,30.27,0
7.8,91.99,44.61,2,63.83,1
6.58,95.0,70.04,3,53.73,1
7.34,67.67,87.67,10,80.35,1
2.92,61.84,82.43,10,66.77,1
2.23,89.03,43.01,4,40.3,0
1.13,63.74,44.37,2,35.01,0
4.16,91.13,64.17,5,64.26,1
6.31,71.19,57.72,10,56.24,1
4.53,83.38,53.94,4,54.7,1
4.94,54.78,56.86,2,31.89,0
9.14,81.19,88.21,5,70.72,1
4.13,72.59,95.75,5,71.73,1
5.63,79.33,64.31,7,60.31,1
8.05,58.4,94.37,1,56.25,1
4.57,86.84,59.29,0,45.59,0
6.6,93.14,68.59,3,72.04,1
8.76,60.84,53.56,6,52.98,1
9.55,54.79,78.43,10,73.09,1
2.32,51.18,98.74,9,71.15,1
9.34,82.1,76.21,2,75.92,1
5.43,80.35,61.47,2,51.57,1
3.32,77.33,78.87,4,49.24,0
5.13,61.6,47.38,4,57.84,1
9.82,69.55,93.32,9,92.43,1
5.43,79.72,70.19,2,57.98,1
3.96,74.84,66.96,8,56.89,1
6.7,99.39,75.15,3,64.93,1
3.16,56.82,77.49,2,45.71,0
1.68,84.76,44.31,10,56.1,1
2.16,70.22,80.96,1,52.99,1
2.15,71.41,54.52,9,58.41,1
2.37,85.88,82.84,10,62.56,1
2.25,84.62,89.35,8,72.24,1
6.77,99.56,88.24,3,70.87,1
2.64,56.42,73.15,2,47.26,0
4.11,55.21,71.21,6,62.01,1
9.07,86.22,48.57,7,62.93,1
5.27,78.92,86.52,10,74.73,1
7.01,63.71,56.28,1,46.49,0
2.55,53.97,69.8,6,42.27,0
2.73,54.28,57.06,4,44.53,0
1.37,94.71,48.03,10,69.33,1
2.52,59.59,77.77,4,40.35,0
3.51,66.17,43.26,2,38.82,0
2.59,61.33,84.92,4,55.43,1
1.8,67.75,59.06,1,38.38,0
2.09,53.47,40.01,3,33.35,0
5.15,75.95,70.67,5,52.76,1
2.86,53.38,42.81,0,31.83,0
4.28,90.02,56.57,9,59.89,1
5.53,61.69,82.42,3,45.94,0
7.21,77.0,43.76,5,62.54,1
1.35,94.0,90.36,8,70.09,1
8.19,82.54,40.23,10,69.32,1
6.65,76.65,54.81,10,69.55,1
1.74,66.22,84.45,1,50.29,1
8.86,66.65,58.98,10,74.3,1
9.29,83.47,46.11,6,70.27,1
1.55,99.71,61.61,5,50.81,1
3.49,83.09,56.22,1,50.78,1
8.26,77.89,90.56,7,78.99,1
7.73,86.53,58.8,6,67.25,1
2.66,73.26,87.34,10,61.15,1
2.88,53.01,93.51,4,55.3,1
4.33,78.11,66.03,4,50.11,1
5.36,97.88,94.6,6,70.17,1
6.56,58.77,62.64,8,58.88,1
4.32,84.5,97.84,10,71.72,1
5.16,60.05,45.36,8,65.15,1
7.73,76.79,81.22,8,81.7,1
1.33,54.83,69.63,5,54.78,1
3.27,72.52,63.26,9,53.55,1
7.42,87.81,77.96,5,69.86,1
9.06,67.38,82.23,2,58.32,1
5.61,83.25,40.26,0,39.26,0
5.79,89.77,50.02,6,54.84,1
1.96,96.36,82.78,3,61.22,1
5.03,61.73,79.98,0,46.93,0
5.79,69.97,97.96,7,77.21,1
3.18,57.62,85.66,5,58.2,1
3.42,99.62,97.05,5,79.11,1
4.4,96.35,82.15,1,49.51,0
1.18,77.0,57.88,0,42.01,0
3.9,92.1,46.32,1,49.8,0
2.9,76.05,86.91,3,49.67,0
3.95,81.18,78.65,1,56.73,1
2.08,54.46,42.89,0,30.63,0
9.01,87.76,61.6,6,69.43,1
6.34,56.39,97.41,10,72.24,1
7.11,91.3,70.02,10,73.45,1
8.1,89.1,65.96,7,82.11,1
5.49,85.44,67.46,5,61.04,1
1.78,51.81,52.53,3,40.49,0
5.83,65.16,62.12,5,52.3,1
6.28,63.16,62.19,2,47.09,0
7.71,68.01,43.14,7,65.23,1
4.88,54.38,86.05,9,60.16,1
2.15,96.85,64.99,1,44.16,0
3.55,77.69,89.33,4,59.39,1
4.27,65.28,91.02,0,51.59,1
6.81,69.85,52.72,5,55.92,1
6.14,72.36,79.44,1,57.63,1
4.2,80.03,68.34,3,56.48,1
9.88,75.78,92.81,5,81.37,1
6.45,95.97,52.94,9,64.28,1
3.14,74.85,80.67,10,65.59,1
1.92,99.61,76.47,7,67.63,1
2.38,92.57,57.72,7,60.24,1
3.21,60.43,48.2,10,47.71,0
2.45,96.53,79.1,5,60.91,1
2.68,55.82,84.32,3,39.27,0
3.57,90.87,58.94,7,59.01,1
2.56,69.03,78.69,7,67.3,1
9.07,93.9,63.71,9,73.83,1
1.72,93.4,82.79,0,43.65,0
5.72,90.3,51.95,3,57.77,1
4.69,89.5,93.41,3,55.94,1
9.84,65.23,57.24,6,63.66,1
2.01,54.05,62.07,10,57.43,1
4.58,70.15,43.49,6,47.36,0
9.73,58.68,46.69,10,68.88,1
8.79,84.75,70.95,7,77.93,1
8.35,67.3,56.06,10,73.27,1
3.32,98.78,90.13,4,64.43,1
2.54,82.05,40.88,6,45.32,0
7.02,91.12,62.75,7,70.44,1
9.36,56.63,60.24,8,68.19,1
6.01,93.1,41.16,2,52.28,1
6.14,96.14,47.46,2,50.34,1
3.52,74.35,64.82,3,48.2,0
7.93,80.31,69.57,4,59.8,1
2.68,88.24,64.26,9,61.46,1
3.91,58.74,71.86,0,39.03,0
4.83,75.13,75.71,6,56.24,1
5.57,69.93,40.6,8,57.38,1
3.18,57.32,67.85,7,54.84,1
2.03,68.38,97.81,4,60.02,1
